State,City,Frequency,Name,Location,lat,lng
PA,Warren,105.1,WFSH-FM,"Warren, PA, USA",41.8439486,-79.1450445
PA,Williamsport,88.1,WKWP,"Williamsport, PA, USA",41.2411897,-77.0010786
PA,York,92.7,WKYJ,"York, PA, USA",39.961066,-76.7269596
PR,San Juan,105.7,WJKL,"San Juan, PR, USA",38.7945952,-106.5348379
RI,Providence,95.5,WLVO,"Providence, RI, USA",41.8244836,-71.4127462
RI,Westerly,88.1,WKIV,"Westerly, RI, USA",41.3766798,-71.8288077
SC,Columbia,89.7,WMHK,"Columbia, SC, USA",34.0008322,-81.035147
SC,Greenville-Spartanburg,94.5,WKVG,"Greenville-Spartanburg, SC, USA",34.8484984,-82.4000158
SC,Myrtle Beach,88.9,WKVC,"Myrtle Beach, SC, USA",33.6954218,-78.8802094
SC,Orangeburg,100.3,WORG,"Orangeburg, SC, USA",33.4918203,-80.8556476
SD,Aberdeen,94.9,KLRJ,"Aberdeen, SD, USA",45.4646985,-98.4864829
SD,Huron,89.7,KLUV,"Huron, SD, USA",44.3633173,-98.2142572
SD,Mitchell,89.7,K209FX,"Mitchell, SD, USA",43.7094283,-98.0297992
SD,Sioux Falls,90.1,KSFS,"Sioux Falls, SD, USA",43.5460223,-96.731265
SD,Yankton,88.7,KLRK,"Yankton, SD, USA",42.8711088,-97.3972813
TN,Brownsville,101.7,W269BB,"Brownsville, TN, USA",35.5939671,-89.262291
TN,Dyersburg,90.7,WZKV,"Dyersburg, TN, USA",36.0345159,-89.3856281
TN,Jackson,96.9,W245AR,"Jackson, TN, USA",35.6145169,-88.8139469
TN,Jackson,106.3,W292CZ,"Jackson, TN, USA",35.6145169,-88.8139469
TN,Knoxville,88.3,WYLV,"Knoxville, TN, USA",35.965266,-83.923304
TN,Lawrenceburg,103.9,WLFM,"Lawrenceburg, TN, USA",35.2423023,-87.3347389
TN,Memphis,94.1,WKVF,"Memphis, TN, USA",35.1485812,-90.0518955
TN,Morristown,94.1,WMXK,"Morristown, TN, USA",36.2139814,-83.2948922
TN,Murfreesboro,104.9,WLVN,"Murfreesboro, TN, USA",35.8451777,-86.3951864
TN,Nashville,97.1,WLVU,"Nashville, TN, USA",36.1626638,-86.7816016
TN,Selmer-Jackson,90.5,WXKV,"Selmer-Jackson, TN, USA",35.1700834,-88.5922704
TN,Tullahoma,88.5,WKTH,"Tullahoma, TN, USA",35.3620235,-86.2094342
TX,Amarillo,89.1,KXLV,"Amarillo, TX, USA",35.2069816,-101.8320065
TX,Anthony,102.7,K274BL,"Anthony, TX, USA",31.9992676,-106.6055478
TX,Austin,105.9,KFMK,"Austin, TX, USA",30.267153,-97.7430608
TX,Beaumont,98.1,K251AL,"Beaumont, TX, USA",30.080174,-94.1265562
TX,Beaumont,105.3,KLTW-HD2,"Beaumont, TX, USA",30.080174,-94.1265562
TX,Big Spring,97.3,K247AZ,"Big Spring, TX, USA",32.2528576,-101.4729574
TX,Borger,92.3,K222BE,"Borger, TX, USA",35.6678203,-101.3973876
TX,Bowie,92.3,K222AW,"Bowie, TX, USA",33.4473287,-94.479976
TX,Brownfield,106.1,K291BD,"Brownfield, TX, USA",33.1812035,-102.2743489
TX,Bryan-College Station,103.9,KVLX,"Bryan-College Station, TX, USA",30.825147,-96.4929797
TX,Corpus Christi,88.7,KPLV,"Corpus Christi, TX, USA",27.7963877,-97.4030121
TX,Dallas-Fort Worth,94.9,KLTY,"Dallas-Fort Worth, TX, USA",32.7078751,-96.9209135
TX,Dripping Springs,91.9,KLLR,"Dripping Springs, TX, USA",30.1902067,-98.0866781
TX,Dumas,92.5,K223AU,"Dumas, TX, USA",35.8653789,-101.9732236
TX,El Paso,89.5,KKLY,"El Paso, TX, USA",31.7618778,-106.4850217
TX,Fredericksburg,88.1,KGKV,"Fredericksburg, TX, USA",30.27637,-98.8738819
TX,Groves,94.7,K234AM,"Groves, TX, USA",29.9482695,-93.9171155
TX,Hereford,90.9,KRLH,"Hereford, TX, USA",34.8150622,-102.3977036
TX,Houston,97.1,KLVH,"Houston, TX, USA",29.7600771,-95.3701108
TX,Karnes City,103.1,KZKV,"Karnes City, TX, USA",28.8849772,-97.9008355
TX,Kerrville,99.9,KLKV,"Kerrville, TX, USA",30.0474332,-99.1403189
TX,Killeen,107.9,K300BO,"Killeen, TX, USA",31.1212466,-97.733169
TX,Killeen,88.5,KVLT,"Killeen, TX, USA",31.1212466,-97.733169
TX,Lubbock,90.9,KKLU,"Lubbock, TX, USA",33.5845235,-101.8552139
TX,Mauriceville,98.9,K255BB,"Mauriceville, TX, USA",30.2035419,-93.8662819
TX,Midland/Odessa,90.5,KLVW,"Midland/Odessa, TX, USA",31.8456816,-102.3676431
TX,Pampa,93.5,K228EB,"Pampa, TX, USA",35.5333545,-100.9718861
TX,San Angelo,88.5,KLRW,"San Angelo, TX, USA",31.4637723,-100.4370375
TX,San Antonio,91.3,KZLV,"San Antonio, TX, USA",29.4251905,-98.4945922
TX,San Antonio,103.7,KZAI-HD2,"San Antonio, TX, USA",29.4251905,-98.4945922
TX,San Marcos/New Braunfels,106.3,KMLR,"San Marcos/New Braunfels, TX, USA",29.702566,-98.1240635
TX,Tyler,88.7,KZLO,"Tyler, TX, USA",32.3512601,-95.3010624
TX,Waco,88.1,KVLW,"Waco, TX, USA",31.5575916,-97.1289922
TX,Waco,96.1,K241BW,"Waco, TX, USA",31.5575916,-97.1289922
TX,Wichita Falls,90.5,KZKL,"Wichita Falls, TX, USA",33.9137085,-98.4933873
UT,Logan,88.1,KNKL,"Logan, UT, USA",41.7369803,-111.8338359
UT,Moab,89.3,K207EM,"Moab, UT, USA",38.5732935,-109.550772
UT,Price,102.5,K273BT,"Price, UT, USA",39.5994095,-110.8107148
UT,Salt Lake City,107.5,KKLV,"Salt Lake City, UT, USA",40.7605601,-111.8881397
UT,St. George,90.3,KLGU,"St. George, UT, USA",37.0965278,-113.5684164
UT,Vernal,90.9,KUKV,"Vernal, UT, USA",40.4555157,-109.5287479
VA,Bedford,106.9,WLGX,"Bedford, VA, USA",37.3343079,-79.5230877
VA,Coeburn,99.7,WGCK-FM,"Coeburn, VA, USA",36.9439917,-82.4640401
VA,Farmville,95.7,WFLO-FM,"Farmville, VA, USA",37.3020965,-78.3919401
VA,Fredericksburg,89.5,WLJV,"Fredericksburg, VA, USA",38.3003751,-77.4588059
VA,Glade Spring,100.5,WLGW,"Glade Spring, VA, USA",36.791225,-81.7712324
VA,Harrisonburg,102.9,WLTK,"Harrisonburg, VA, USA",38.4460017,-78.8697826
VA,Manassas,94.3,WLZV,"Manassas, VA, USA",38.7512726,-77.4706769
VA,Norfolk,93.3,W227BR,"Norfolk, VA, USA",36.8507689,-76.2858726
VA,Norfolk,90.7,WZLV,"Norfolk, VA, USA",36.8507689,-76.2858726
VA,Norfolk,105.3,WNOH-HD3,"Norfolk, VA, USA",36.8507689,-76.2858726
VA,Pennington Gap,105.5,WLGY,"Pennington Gap, VA, USA",36.7584219,-83.0271115
VA,Petersburg,100.3,WKYV,"Petersburg, VA, USA",37.2279279,-77.4019267
VA,Richmond,98.9,WLFV,"Richmond, VA, USA",37.5407246,-77.4360481
VA,Roanoke,106.1,WLRX,"Roanoke, VA, USA",37.2709116,-79.9449495
VA,Williamsburg,97.7,W249CT,"Williamsburg, VA, USA",37.2757305,-76.7098049
VA,Winchester,103.3,WTCF,"Winchester, VA, USA",39.1856597,-78.1633341
VI,Charlotte Amalie,107.3,WVIE,"Charlotte Amalie, VI, USA",18.3418571,-64.93106
WA,Aberdeen,89.9,K210ES,"Aberdeen, WA, USA",46.9753708,-123.8157218
WA,Centralia,101.7,K269FS,"Centralia, WA, USA",46.7162136,-122.9542972
WA,Ellensburg,88.5,K203EN,"Ellensburg, WA, USA",46.9965144,-120.5478474
WA,Grand Coulee,98.5,KLGW,"Grand Coulee, WA, USA",47.9391662,-119.0120921
WA,Kennewick,103.1,K276EU,"Kennewick, WA, USA",46.2086683,-119.119948
WA,Longview,90.3,KLWO,"Longview, WA, USA",46.1381676,-122.9381672
WA,Olympia,98.5,KNBQ,"Olympia, WA, USA",47.0451842,-122.895355
WA,Port Angeles,90.9,K215DP,"Port Angeles, WA, USA",48.118146,-123.4307413
WA,Seattle,104.5,KLSW,"Seattle, WA, USA",47.6061389,-122.3328481
WA,Spokane,106.5,KLSN,"Spokane, WA, USA",47.6579711,-117.4235319
WA,Tri-Cities,93.3,KRKL,"Tri-Cities, WA, USA",46.2349999,-119.2233014
WA,Wenatchee,88.1,KLUW,"Wenatchee, WA, USA",47.4234599,-120.3103494
WA,Westport,101.3,KLWA,"Westport, WA, USA",46.8900903,-124.1040613
WA,Yakima,103.1,KYKV,"Yakima, WA, USA",46.6022299,-120.5060955
WI,Appleton,102.1,W271AC,"Appleton, WI, USA",44.2622712,-88.4071047
WI,Appleton,106.1,W291CM,"Appleton, WI, USA",44.2622712,-88.4071047
WI,Eau Claire,89.1,W206AH,"Eau Claire, WI, USA",44.811349,-91.4984941
WI,Fond Du Lac,91.7,WDKV,"Fond Du Lac, WI, USA",43.7730448,-88.4470508
WI,Green Bay,90.5,WPFF,"Green Bay, WI, USA",44.5133188,-88.0132958
WI,Green Bay,104.9,WPCK,"Green Bay, WI, USA",44.5133188,-88.0132958
WI,La Crosse,100.1,WLCW,"La Crosse, WI, USA",43.8137751,-91.2519017
WI,Milwaukee,93.3,WLVE,"Milwaukee, WI, USA",43.0410344,-87.9096783
WI,New London,97.3,W247AS,"New London, WI, USA",44.3927582,-88.7398256
WI,Oshkosh,105.3,W287BZ,"Oshkosh, WI, USA",44.0247062,-88.5426136
WI,Sheboygan,96.9,W245AK,"Sheboygan, WI, USA",43.7508284,-87.71453
WV,Charleston,98.1,W251BH,"Charleston, WV, USA",38.3498195,-81.6326234
WV,Charleston,93.3,WKVW,"Charleston, WV, USA",38.3498195,-81.6326234
WV,Clarksburg,88.1,WKJL,"Clarksburg, WV, USA",39.2806451,-80.3445341
WV,Harrisville,90.7,W214CG,"Harrisville, WV, USA",39.2095244,-81.0517772
WV,Huntington,91.9,WHKU,"Huntington, WV, USA",38.4191481,-82.4451746
WV,Morgantown,93.9,W230AY,"Morgantown, WV, USA",39.6304078,-79.954468
WV,Morgantown,106.9,WUKL,"Morgantown, WV, USA",39.6304078,-79.954468
WV,Parkersburg,91.9,WLKP,"Parkersburg, WV, USA",39.2642138,-81.5607464
WV,Ripley,90.7,WLKV,"Ripley, WV, USA",38.8186957,-81.7106851
WV,Saint Albans,94.9,W235BF,"Saint Albans, WV, USA",38.3793695,-81.8191658
WV,Weirton,99.3,W257BP,"Weirton, WV, USA",40.4189566,-80.5895167
WV,Wheeling,103.5,WNKV,"Wheeling, WV, USA",40.0645386,-80.720417
WV,Wheeling,88.7,WULV,"Wheeling, WV, USA",40.0645386,-80.720417
WY,Casper,89.1,KLWC,"Casper, WY, USA",42.848709,-106.2980824
WY,Cheyenne/Laramie,90.9,KLWV,"Cheyenne/Laramie, WY, USA",41.1347435,-104.8211901
WY,Gillette,88.9,KLOF,"Gillette, WY, USA",44.2931097,-105.494199
WY,Jackson,88.3,KMLT,"Jackson, WY, USA",43.4799291,-110.7624282
WY,Riverton,91.7,KRKM,"Riverton, WY, USA",43.024673,-108.3806054
WY,Rock Springs,101.9,KLWR,"Rock Springs, WY, USA",41.5874644,-109.2029043
WY,Sheridan,89.9,K210AM,"Sheridan, WY, USA",44.7971939,-106.9561791
