State,City,Frequency,Name,Location,lat,lng
KY,Lexington,89.9,WKVO,"Lexington, KY, USA",38.0389091,-84.5152662
KY,London,104.9,W285DT,"London, KY, USA",37.1289771,-84.0832646
KY,London,103.1,WWLT,"London, KY, USA",37.1289771,-84.0832646
KY,Louisville,95.1,W236AN,"Louisville, KY, USA",38.2468618,-85.7663724
KY,Louisville,100.5,WSDF-HD2,"Louisville, KY, USA",38.2468618,-85.7663724
KY,Morehead,93.3,W227AX,"Morehead, KY, USA",38.1768636,-83.4357151
KY,Paducah,90.1,WKYP,"Paducah, KY, USA",37.0841709,-88.5980283
KY,Somerset,88.1,WKVY,"Somerset, KY, USA",37.0920222,-84.6041084
LA,Alexandria,89.9,KLXA,"Alexandria, LA, USA",31.3112936,-92.4451371
LA,Baton Rouge,92.7,WBKL,"Baton Rouge, LA, USA",30.4514677,-91.1871466
LA,Bunkie,106.3,K292GE,"Bunkie, LA, USA",30.9532472,-92.1826258
LA,Houma,106.3,KLXH,"Houma, LA, USA",29.5957696,-90.7195348
LA,Lafayette,90.9,KIKL,"Lafayette, LA, USA",30.2240897,-92.0198427
LA,Lake Charles,89.1,KRLR,"Lake Charles, LA, USA",30.2265949,-93.2173758
LA,Leesville - DeRidder,104.1,KLXN,"Leesville - DeRidder, LA, USA",31.1435194,-93.260998
LA,Monroe,93.5,KLXE,"Monroe, LA, USA",32.5093109,-92.1193012
LA,Monroe,104.7,K284DE,"Monroe, LA, USA",32.5093109,-92.1193012
LA,Natchitoches,106.5,KLNQ,"Natchitoches, LA, USA",31.7607195,-93.0862749
LA,New Orleans,107.5,KNOL,"New Orleans, LA, USA",29.9508941,-90.0758356
LA,Ruston,92.1,K221GT,"Ruston, LA, USA",32.5232053,-92.637927
LA,Shreveport,88.5,KLHV,"Shreveport, LA, USA",32.5130159,-93.7514874
MA,Athol,99.9,WKMY,"Athol, MA, USA",42.5959329,-72.2267383
MA,Boston,107.3,WKVB,"Boston, MA, USA",42.3555076,-71.0565364
MA,Gloucester/North Shore,104.9,WNKC,"Gloucester/North Shore, MA, USA",42.624532,-70.660782
MA,New Bedford,91.1,WTKL,"New Bedford, MA, USA",41.6340613,-70.9276657
MD,Midland,88.3,WLVV,"Midland, MD, USA",39.5900889,-78.9497471
MD,Ocean City,92.1,WLBW,"Ocean City, MD, USA",38.3345422,-75.0846016
MD,Salisbury,105.5,WLDW,"Salisbury, MD, USA",38.3606736,-75.5993692
ME,Bangor,102.1,WZVV,"Bangor, ME, USA",44.8016128,-68.7712257
ME,Bangor,101.7,WSVV,"Bangor, ME, USA",44.8016128,-68.7712257
ME,Portland,89.3,WMSJ,"Portland, ME, USA",43.670822,-70.2843825
ME,Sanford,92.1,WPKC-FM,"Sanford, ME, USA",43.438809,-70.7750575
MI,Detroit,102.7,WDKL,"Detroit, MI, USA",42.3297182,-83.0424533
MI,Escanaba,88.9,WCRR,"Escanaba, MI, USA",45.7452466,-87.0645801
MI,Flint,100.1,W261BH,"Flint, MI, USA",43.0125274,-83.6874562
MI,Flint,88.9,WLFN,"Flint, MI, USA",43.0125274,-83.6874562
MI,Hillsdale,102.5,WKMH,"Hillsdale, MI, USA",41.9200472,-84.6305101
MI,Holly,98.3,W252CP,"Holly, MI, USA",42.7919727,-83.6277255
MI,Iron Mountain,107.5,W298BW,"Iron Mountain, MI, USA",45.8202334,-88.0659603
MI,Ironwood,88.3,WKIW,"Ironwood, MI, USA",46.4546698,-90.1710081
MI,Linden,106.3,W292DA,"Linden, MI, USA",42.8144731,-83.7824526
MI,Marquette,89.3,WSHN,"Marquette, MI, USA",46.5436199,-87.3953713
MI,Munising,97.7,W249DR,"Munising, MI, USA",46.4110574,-86.6479361
MI,Munising,1400,WQXO-AM,"Munising, MI, USA",46.4110574,-86.6479361
MI,Saginaw,89.1,WLKB,"Saginaw, MI, USA",43.4332528,-83.9390046
MN,Albertville,92.1,K221ES,"Albertville, MN, USA",45.2312337,-93.6687657
MN,Minneapolis,99.9,K260BA,"Minneapolis, MN, USA",44.977753,-93.2650108
MN,Minneapolis,97.7,K249ED,"Minneapolis, MN, USA",44.977753,-93.2650108
MN,Minneapolis-St. Paul,100.3,KFXN-HD3,"Minneapolis-St. Paul, MN, USA",44.9374831,-93.2009998
MN,North Branch,90.3,KMKL,"North Branch, MN, USA",45.5102135,-92.9931054
MN,Willmar,90.9,KKLW,"Willmar, MN, USA",45.1223711,-95.048659
MN,Windom,88.1,KRLP,"Windom, MN, USA",43.8727352,-95.1113808
MN,Woodbury,105.5,K288GR,"Woodbury, MN, USA",44.9238552,-92.9593797
MO,Clinton,96.1,KLRQ,"Clinton, MO, USA",38.3667983,-93.7741584
MO,Columbia,106.5,K293CI,"Columbia, MO, USA",38.951768,-92.3282932
MO,Columbia,92.1,KMFC,"Columbia, MO, USA",38.951768,-92.3282932
MO,Jefferson City,97.5,KJMO,"Jefferson City, MO, USA",38.5767017,-92.1735164
MO,Joplin,90.7,KOBC,"Joplin, MO, USA",37.0854844,-94.5134312
MO,Kansas City,97.3,KLRX,"Kansas City, MO, USA",39.0997265,-94.5785667
MO,Saint Joseph,98.5,K253BG,"Saint Joseph, MO, USA",39.7674578,-94.846681
MO,West Plains,107.1,KBMV-FM,"West Plains, MO, USA",36.7280695,-91.8522677
MS,Columbus-Starkville-West Point,104.5,WLXD,"Columbus-Starkville-West Point, MS, USA",33.6076186,-88.6503254
MS,Greenville,104.7,WLRJ,"Greenville, MS, USA",33.399661,-91.0377029
MS,Grenada,101.3,WKGF,"Grenada, MS, USA",33.7690049,-89.8084192
MS,Gulfport,107.1,WLGF,"Gulfport, MS, USA",30.3674198,-89.0928155
MS,Hattiesburg,103.7,WLVZ,"Hattiesburg, MS, USA",31.3271189,-89.2903392
MS,Jackson,94.7,WJLV,"Jackson, MS, USA",30.4278212,-88.556531
MS,McComb,96.7,WBKM,"McComb, MS, USA",31.2437872,-90.4531535
MS,Meridian,94.5,W233AS,"Meridian, MS, USA",32.3643098,-88.703656
MS,Meridian,93.5,WLBJ,"Meridian, MS, USA",32.3643098,-88.703656
MS,Natchez,91.9,W220BN,"Natchez, MS, USA",31.5604442,-91.403171
MS,Oxford,90.7,W214BL,"Oxford, MS, USA",34.3659868,-89.5188246
MS,Oxford,102.1,WKFF,"Oxford, MS, USA",34.3659868,-89.5188246
MT,Billings,90.9,KLRV,"Billings, MT, USA",45.7827769,-108.5045938
MT,Bozeman,89.3,KLBZ,"Bozeman, MT, USA",45.6793119,-111.037259
MT,Butte,89.7,KQLR,"Butte, MT, USA",46.0038232,-112.5347776
MT,Great Falls,100.3,KLSK,"Great Falls, MT, USA",47.5052849,-111.3007715
MT,Helena,90.1,KHLV,"Helena, MT, USA",46.5891452,-112.0391057
MT,Kalispell,92.7,K224DV,"Kalispell, MT, USA",48.1919889,-114.3168131
MT,Kalispell,88.7,KLKM,"Kalispell, MT, USA",48.1919889,-114.3168131
MT,Kalispell,98.9,K255CH,"Kalispell, MT, USA",48.1919889,-114.3168131
MT,Missoula,93.7,K229BU,"Missoula, MT, USA",46.8721284,-113.9940314
MT,Missoula,104.5,KKVU-HD2,"Missoula, MT, USA",46.8721284,-113.9940314
NC,Charlotte,91.9,WRCM,"Charlotte, NC, USA",35.2270768,-80.8408933
NC,Durham,106.7,WKVK,"Durham, NC, USA",35.9955684,-78.9002077
NC,Fayetteville,107.3,WKFV,"Fayetteville, NC, USA",35.0523673,-78.8783774
NC,Greensboro,94.1,WWLV,"Greensboro, NC, USA",36.0725632,-79.791534
NC,Greenville,98.9,WLXB,"Greenville, NC, USA",35.6115318,-77.3752068
NC,Hatteras,97.1,WKHC,"Hatteras, NC, USA",35.2194549,-75.6903492
NC,Henderson,105.7,W289BX,"Henderson, NC, USA",36.3295704,-78.3991721
NC,Jacksonville,104.1,WKGV,"Jacksonville, NC, USA",34.7540524,-77.4302414
NC,Kinston,88.3,WLRK,"Kinston, NC, USA",35.2626635,-77.5816353
NC,Lumberton,102.3,WFVL,"Lumberton, NC, USA",34.6182199,-79.0086424
NC,Morehead City/New Bern,105.1,WBKZ,"Morehead City/New Bern, NC, USA",34.7229391,-76.7260436
NC,Pinehurst,90.3,WLXZ,"Pinehurst, NC, USA",35.1954345,-79.4694767
NC,Raleigh,93.9,WNCB-HD2,"Raleigh, NC, USA",35.7795897,-78.6381787
NC,Raleigh,94.3,W232CH,"Raleigh, NC, USA",35.7795897,-78.6381787
NC,Raleigh,88.9,WRKV,"Raleigh, NC, USA",35.7795897,-78.6381787
NC,Rocky Mount,102.1,W271BT,"Rocky Mount, NC, USA",35.9350183,-77.7902011
NC,Sanford,101.9,W270AW,"Sanford, NC, USA",35.4798757,-79.1802994
NC,Wilmington,95.5,W238AV,"Wilmington, NC, USA",34.2103894,-77.8868117
NC,Wilmington,100.5,W263BA,"Wilmington, NC, USA",34.2103894,-77.8868117
NC,Wilson,88.3,W202CD,"Wilson, NC, USA",35.7258286,-77.9111237
NC,Wilson,105.5,W288BP,"Wilson, NC, USA",35.7258286,-77.9111237
ND,Bismarck,88.3,KBMK,"Bismarck, ND, USA",46.8041643,-100.7877616
ND,Fargo,99.3,K257EP,"Fargo, ND, USA",46.8771863,-96.7898034
ND,Fargo,100.7,KLDQ,"Fargo, ND, USA",46.8771863,-96.7898034
ND,Grand Forks,95.3,K237ER,"Grand Forks, ND, USA",47.9252568,-97.0328547
ND,Jamestown,89.1,KJKL,"Jamestown, ND, USA",46.9105438,-98.7084357
ND,Minot,100.7,KNDL,"Minot, ND, USA",48.2329668,-101.2922906
ND,Williston,91.7,KNDW,"Williston, ND, USA",48.1469683,-103.6179745
NE,Grand Island,88.3,KLNB,"Grand Island, NE, USA",40.9263957,-98.3420118
NE,Hastings,90.3,K212GI,"Hastings, NE, USA",40.5862583,-98.3898726
NE,Lincoln,91.9,K220GT,"Lincoln, NE, USA",40.8136634,-96.7025764
NE,Lincoln,89.9,KFLV,"Lincoln, NE, USA",40.8136634,-96.7025764
NE,Norfolk,91.7,KVLD,"Norfolk, NE, USA",42.0327168,-97.4168171
NE,Omaha,88.1,KMLV,"Omaha, NE, USA",41.2565369,-95.9345034
NE,Scottsbluff,88.3,KLJV,"Scottsbluff, NE, USA",41.8666341,-103.6671662
NH,Chester,101.5,W268DO,"Chester, NH, USA",42.9567525,-71.2572846
NH,Concord,102.3,WAKC,"Concord, NH, USA",43.2062206,-71.5398156
NH,Lebanon,107.7,W299AM,"Lebanon, NH, USA",43.6422934,-72.2517569
NH,Lebanon,103.1,WZKC,"Lebanon, NH, USA",43.6422934,-72.2517569
NH,Littleton,99.1,WYKC,"Littleton, NH, USA",44.3060969,-71.7703013
NH,Plymouth,105.7,WLKC,"Plymouth, NH, USA",43.7570415,-71.6878162
NH,Portsmouth,97.1,W246BP,"Portsmouth, NH, USA",43.0702046,-70.7546771
NH,Portsmouth,1540,WPKC-AM,"Portsmouth, NH, USA",43.0702046,-70.7546771
NJ,Atlantic City,102.7,WLRB,"Atlantic City, NJ, USA",39.3636917,-74.4291041
NJ,Cape May,93.1,WEZW,"Cape May, NJ, USA",38.9316029,-74.9107738
NM,Alamogordo,91.7,KLAG,"Alamogordo, NM, USA",32.9007766,-105.9601797
NM,Albuquerque,90.7,KQLV,"Albuquerque, NM, USA",35.0843859,-106.650422
NM,Carlsbad,90.3,KLXC,"Carlsbad, NM, USA",32.4203395,-104.2289925
NM,Clovis,90.3,KELU,"Clovis, NM, USA",34.4014624,-103.207807
NM,Farmington,88.9,KNMI,"Farmington, NM, USA",36.7280583,-108.2186856
NM,Gallup,88.9,KLLU,"Gallup, NM, USA",35.5263073,-108.7420186
NM,Hobbs,88.3,KLHK,"Hobbs, NM, USA",32.7012285,-103.1343854
NM,Las Cruces,93.5,K228FI,"Las Cruces, NM, USA",32.3142451,-106.7797529
NM,Las Vegas,91.5,K218FN,"Las Vegas, NM, USA",35.5942137,-105.2227978
NM,Milan,89.5,KVLK,"Milan, NM, USA",35.1754484,-107.8954549
NM,Roswell,90.1,KRLU,"Roswell, NM, USA",33.3942528,-104.5226958
NM,Ruidoso,91.3,KLXZ,"Ruidoso, NM, USA",33.3338601,-105.6813321
NM,Truth Or Consequences,91.1,KLCF,"Truth Or Consequences, NM, USA",33.1284047,-107.2528069
NM,Tucumcari,91.9,KVLP,"Tucumcari, NM, USA",35.171723,-103.7249662
NV,Carson City,93.1,K226AL,"Carson City, NV, USA",39.1637984,-119.7674034
NV,Fallon,95.1,K236AP,"Fallon, NV, USA",39.4748693,-118.7770407
NV,Las Vegas,95.1,K236BM,"Las Vegas, NV, USA",36.171563,-115.1391009
NV,Las Vegas,106.5,KSNE-HD2,"Las Vegas, NV, USA",36.171563,-115.1391009
NV,Las Vegas,87.7,KLVG-LD,"Las Vegas, NV, USA",36.171563,-115.1391009
NV,Reno,92.9,KLRH,"Reno, NV, USA",39.529919,-119.8142691
NY,Albany,94.5,WYKV,"Albany, NY, USA",42.6518095,-73.7544707
NY,Amsterdam,104.1,W281AK,"Amsterdam, NY, USA",42.9377453,-74.190356
NY,Buffalo,102.5,WBKV,"Buffalo, NY, USA",42.8869004,-78.8788896
NY,Gloversville,90.9,WLGV,"Gloversville, NY, USA",43.0528506,-74.3437467
NY,Hauppauge-Long Island,94.9,W235BB,"Hauppauge-Long Island, NY, USA",40.8256536,-73.2026138
NY,Jamestown,95.3,WLKW,"Jamestown, NY, USA",42.0970023,-79.2353259
NY,Long Island – East,103.3,WPLF,"Long Island – East, NY, USA",40.789142,-73.134961
NY,Malone,94.7,WQLV,"Malone, NY, USA",44.848769,-74.2937178
NY,New York,95.5,WPLJ,"New York, NY, USA",40.7127753,-74.0059728
NY,Plattsburgh,89.7,WKVJ,"Plattsburgh, NY, USA",44.6994873,-73.4529124
NY,Pulaski,101.7,WGKV,"Pulaski, NY, USA",43.5670136,-76.1277027
NY,Rochester,104.9,WKDL,"Rochester, NY, USA",43.1565779,-77.6088465
NY,Rochester,88.1,WKEL,"Rochester, NY, USA",43.1565779,-77.6088465
NY,Saratoga Springs,101.3,WJKE,"Saratoga Springs, NY, USA",43.0833706,-73.7849756
NY,Selden-Long Island,104.5,W283BA,"Selden-Long Island, NY, USA",40.8664873,-73.0356625
NY,Syracuse,105.9,WKLZ,"Syracuse, NY, USA",43.0494832,-76.1473977
NY,Utica,107.3,WKVU,"Utica, NY, USA",43.1010949,-75.2355806
NY,Watertown,90.1,WKWV,"Watertown, NY, USA",43.9725849,-75.909743
OH,Ashtabula,96.1,WOHK,"Ashtabula, OH, USA",41.8650534,-80.7898089
OH,Athens,94.1,W231CQ,"Athens, OH, USA",39.3292396,-82.1012554
OH,Bellefontaine,94.1,W231BY,"Bellefontaine, OH, USA",40.3611643,-83.7596557
OH,Bowling Green,105.9,W290BA,"Bowling Green, OH, USA",41.3747744,-83.6513229
OH,Canton,95.9,WNPQ,"Canton, OH, USA",40.7973776,-81.3769965
OH,Cincinnati,104.3,WNLT,"Cincinnati, OH, USA",39.1031182,-84.5120196
OH,Cleveland,95.5,WKLV-FM,"Cleveland, OH, USA",41.49932,-81.6943605
OH,Columbus,102.5,WKVR,"Columbus, OH, USA",39.9625112,-83.0032218
OH,Dayton,90.3,WKCD,"Dayton, OH, USA",39.7592225,-84.1936144
OH,Findlay,91.7,W219DS,"Findlay, OH, USA",41.0391283,-83.6502309
OH,Greenville,103.7,W279BR,"Greenville, OH, USA",40.1027908,-84.6328746
OH,Lima,99.3,WVLO,"Lima, OH, USA",40.742551,-84.1052256
OH,Mansfield,98.7,WYKL,"Mansfield, OH, USA",40.7585359,-82.5140846
OH,Marion,99.3,W257AB,"Marion, OH, USA",40.5886699,-83.1285242
OH,Portsmouth,104.1,WPYK,"Portsmouth, OH, USA",38.7317431,-82.9976742
OH,Sidney,94.1,W231AZ,"Sidney, OH, USA",40.2842164,-84.1554987
OH,Toledo,104.1,W281AL,"Toledo, OH, USA",41.6528052,-83.5378674
OH,Toledo,96.9,WNKL,"Toledo, OH, USA",41.6528052,-83.5378674
OH,Urbana,103.7,W279BB,"Urbana, OH, USA",40.1083912,-83.7524298
